"COU","% of Total Earnings","Marginal Tax Wedge","Annual Gross Wage in US Dollars"
"AUS",50,"0.307909",32700
"AUS",51,"0.36",33400
"AUS",52,"0.36",34000
"AUS",53,"0.36",34700
"AUS",54,"0.36",35300
"AUS",55,"0.36",36000
"AUS",56,"0.36",36700
"AUS",57,"0.36",37300
"AUS",58,"0.36",38000
"AUS",59,"0.36",38600
"AUS",60,"0.36",39300
"AUS",61,"0.36",39900
"AUS",62,"0.36",40600
"AUS",63,"0.36",41200
"AUS",64,"0.36",41900
"AUS",65,"0.36",42500
"AUS",66,"0.36",43200
"AUS",67,"0.36",43900
"AUS",68,"0.36",44500
"AUS",69,"0.36",45200
"AUS",70,"0.351137",45800
"AUS",71,"0.345",46500
"AUS",72,"0.345",47100
"AUS",73,"0.345",47800
"AUS",74,"0.345",48400
"AUS",75,"0.345",49100
"AUS",76,"0.345",49700
"AUS",77,"0.345",50400
"AUS",78,"0.345",51100
"AUS",79,"0.345",51700
"AUS",80,"0.345",52400
"AUS",81,"0.345",53000
"AUS",82,"0.345",53700
"AUS",83,"0.345",54300
"AUS",84,"0.345",55000
"AUS",85,"0.345",55600
"AUS",86,"0.345",56300
"AUS",87,"0.345",56900
"AUS",88,"0.345",57600
"AUS",89,"0.345",58300
"AUS",90,"0.345",58900
"AUS",91,"0.345",59600
"AUS",92,"0.345",60200
"AUS",93,"0.345",60900
"AUS",94,"0.345",61500
"AUS",95,"0.373431",62200
"AUS",96,"0.375",62800
"AUS",97,"0.375",63500
"AUS",98,"0.375",64100
"AUS",99,"0.375",64800
"AUS",100,"0.375",65500
"AUS",101,"0.375",66100
"AUS",102,"0.375",66800
"AUS",103,"0.375",67400
"AUS",104,"0.375",68100
"AUS",105,"0.375",68700
"AUS",106,"0.375",69400
"AUS",107,"0.375",70000
"AUS",108,"0.375",70700
"AUS",109,"0.375",71300
"AUS",110,"0.375",72000
"AUS",111,"0.375",72700
"AUS",112,"0.375",73300
"AUS",113,"0.375",74000
"AUS",114,"0.375",74600
"AUS",115,"0.375",75300
"AUS",116,"0.375",75900
"AUS",117,"0.375",76600
"AUS",118,"0.375",77200
"AUS",119,"0.375",77900
"AUS",120,"0.375",78500
"AUS",121,"0.375",79200
"AUS",122,"0.375",79900
"AUS",123,"0.375",80500
"AUS",124,"0.375",81200
"AUS",125,"0.375",81800
"AUS",126,"0.386863",82500
"AUS",127,"0.42",83100
"AUS",128,"0.42",83800
"AUS",129,"0.42",84400
"AUS",130,"0.42",85100
"AUS",131,"0.42",85700
"AUS",132,"0.42",86400
"AUS",133,"0.835773",87100
"AUS",134,"0.39",87700
"AUS",135,"0.39",88400
"AUS",136,"0.39",89000
"AUS",137,"0.39",89700
"AUS",138,"0.39",90300
"AUS",139,"0.39",91000
"AUS",140,"0.39",91600
"AUS",141,"0.39",92300
"AUS",142,"0.39",92900
"AUS",143,"0.39",93600
"AUS",144,"0.39",94300
"AUS",145,"0.39",94900
"AUS",146,"0.39",95600
"AUS",147,"0.39",96200
"AUS",148,"0.39",96900
"AUS",149,"0.39",97500
"AUS",150,"0.39",98200
"AUT",50,"0.619216",34600
"AUT",51,"0.619216",35300
"AUT",52,"0.619216",36000
"AUT",53,"0.86368",36700
"AUT",54,"0.623743",37400
"AUT",55,"0.623743",38100
"AUT",56,"0.623743",38800
"AUT",57,"0.886316",39400
"AUT",58,"0.62827",40100
"AUT",59,"0.62827",40800
"AUT",60,"0.62827",41500
"AUT",61,"0.62827",42200
"AUT",62,"0.62827",42900
"AUT",63,"0.62827",43600
"AUT",64,"0.62827",44300
"AUT",65,"0.62827",45000
"AUT",66,"0.597544",45700
"AUT",67,"0.542797",46400
"AUT",68,"0.542797",47100
"AUT",69,"0.542797",47700
"AUT",70,"0.542797",48400
"AUT",71,"0.542797",49100
"AUT",72,"0.542797",49800
"AUT",73,"0.542797",50500
"AUT",74,"0.542797",51200
"AUT",75,"0.542797",51900
"AUT",76,"0.542797",52600
"AUT",77,"0.542797",53300
"AUT",78,"0.542797",54000
"AUT",79,"0.542797",54700
"AUT",80,"0.542797",55400
"AUT",81,"0.542797",56100
"AUT",82,"0.542797",56700
"AUT",83,"0.542797",57400
"AUT",84,"0.583132",58100
"AUT",85,"0.594903",58800
"AUT",86,"0.594903",59500
"AUT",87,"0.594903",60200
"AUT",88,"0.594903",60900
"AUT",89,"0.594903",61600
"AUT",90,"0.594903",62300
"AUT",91,"0.594903",63000
"AUT",92,"0.594903",63700
"AUT",93,"0.594903",64400
"AUT",94,"0.594903",65000
"AUT",95,"0.594903",65700
"AUT",96,"0.594903",66400
"AUT",97,"0.594903",67100
"AUT",98,"0.594903",67800
"AUT",99,"0.594903",68500
"AUT",100,"0.594903",69200
"AUT",101,"0.594903",69900
"AUT",102,"0.594903",70600
"AUT",103,"0.594903",71300
"AUT",104,"0.594903",72000
"AUT",105,"0.594903",72700
"AUT",106,"0.594903",73400
"AUT",107,"0.594903",74000
"AUT",108,"0.594903",74700
"AUT",109,"0.594903",75400
"AUT",110,"0.594903",76100
"AUT",111,"0.594903",76800
"AUT",112,"0.594903",77500
"AUT",113,"0.594903",78200
"AUT",114,"0.594903",78900
"AUT",115,"0.594903",79600
"AUT",116,"0.594903",80300
"AUT",117,"0.594903",81000
"AUT",118,"0.594903",81700
"AUT",119,"0.594903",82400
"AUT",120,"0.594903",83000
"AUT",121,"0.594903",83700
"AUT",122,"0.594903",84400
"AUT",123,"0.594903",85100
"AUT",124,"0.594903",85800
"AUT",125,"0.594903",86500
"AUT",126,"0.594903",87200
"AUT",127,"0.594903",87900
"AUT",128,"0.594903",88600
"AUT",129,"0.594903",89300
"AUT",130,"0.594903",90000
"AUT",131,"0.594903",90700
"AUT",132,"0.594903",91300
"AUT",133,"0.594903",92000
"AUT",134,"0.594903",92700
"AUT",135,"0.594903",93400
"AUT",136,"0.594903",94100
"AUT",137,"0.594903",94800
"AUT",138,"0.594903",95500
"AUT",139,"0.594903",96200
"AUT",140,"0.594903",96900
"AUT",141,"0.594903",97600
"AUT",142,"0.594903",98300
"AUT",143,"0.594903",99000
"AUT",144,"0.594903",99700
"AUT",145,"0.594903",100300
"AUT",146,"0.594903",101000
"AUT",147,"0.594903",101700
"AUT",148,"0.594903",102400
"AUT",149,"0.817486",103100
"AUT",150,"0.549984",103800
"BEL",50,"0.814191",37100
"BEL",51,"0.814191",37900
"BEL",52,"0.801433",38600
"BEL",53,"0.797377",39400
"BEL",54,"0.797377",40100
"BEL",55,"0.797377",40900
"BEL",56,"0.797377",41600
"BEL",57,"0.797377",42300
"BEL",58,"0.797377",43100
"BEL",59,"0.797377",43800
"BEL",60,"0.797377",44600
"BEL",61,"0.797767",45300
"BEL",62,"0.797971",46000
"BEL",63,"0.685037",46800
"BEL",64,"0.685037",47500
"BEL",65,"0.685037",48300
"BEL",66,"0.685037",49000
"BEL",67,"0.685037",49800
"BEL",68,"0.685037",50500
"BEL",69,"0.685037",51200
"BEL",70,"0.685037",52000
"BEL",71,"0.685037",52700
"BEL",72,"0.651267",53500
"BEL",73,"0.65033",54200
"BEL",74,"0.65033",55000
"BEL",75,"0.65033",55700
"BEL",76,"0.65033",56400
"BEL",77,"0.65033",57200
"BEL",78,"0.65033",57900
"BEL",79,"0.65033",58700
"BEL",80,"0.65033",59400
"BEL",81,"0.65033",60200
"BEL",82,"0.65033",60900
"BEL",83,"0.65033",61600
"BEL",84,"0.65033",62400
"BEL",85,"0.65033",63100
"BEL",86,"0.65033",63900
"BEL",87,"0.65033",64600
"BEL",88,"0.65033",65400
"BEL",89,"0.663063",66100
"BEL",90,"0.668865",66800
